qid,label,description
Q45295404,"Comparison of relaxation induced by glyceryl trinitrate, isosorbide dinitrate, and sodium nitroprusside in bovine airways.",
Q69199199,"Comparative effects of isosorbide dinitrate, prednisolone, indomethacin, and elastase on the development of monocrotaline-induced pulmonary hypertension",
Q70489593,[Drug therapy of coronary heart disease. Comparative effects of nifedipine and isosorbide dinitrate],
Q51562703,Pulmonary vascular effects of nitroglycerin and isosorbide dinitrate in patients with end-stage cardiomyopathies.,
Q42038188,Comparative evaluation of a new formulation of isosorbide dinitrate oral spray and sublingual nitroglycerin tablets.,
Q43697562,Ibuprofen plus isosorbide dinitrate treatment in the mdx mice ameliorates dystrophic heart structure.,
Q69556797,[Hemodynamic effect of subchronic therapy with 120 mg isosorbide dinitrate in a slow release form in minimal to moderate post-infarct heart failure],
Q69008827,Isosorbide dinitrate oral spray in acute exacerbation of chronic congestive heart failure secondary to coronary artery disease,
Q71340511,Plasma levels of isosorbide dinitrate and the isosorbide mononitrates after increasing doses of a retard preparation of isosorbide dinitrate,
Q44621581,[Regional myocardial blood flow distribution (RMBF) and the influence of isosorbide dinitrate (ISDN) in patients with and without coronary heart disease (KHE)],
Q67545761,Modification of platelet function by isosorbide dinitrate in patients with coronary artery disease,
Q39367334,Effects and pharmacokinetics of isosorbide dinitrate in normal man.,
Q71340725,Simultaneous determination of isosorbide dinitrate and its mononitrate metabolites in human plasma by capillary gas chromatography with electron-capture detection,
Q67236578,Effects of isosorbide dinitrate on thromboxane A2 synthesis in carbon dioxide exposed platelets,
Q68167607,Antihypertensive effect of sustained-release isosorbide dinitrate for isolated systolic systemic hypertension in the elderly,
Q45974375,No recovery of cold complex regional pain syndrome after transdermal isosorbide dinitrate: a small controlled trial.,
Q69915446,[Vasodilator effects of intravenous isosorbide dinitrate in patients with heart failure--multi-center studies],
Q70239255,[Effects of isosorbide dinitrate on left and right ventricular systolic time intervals in patients after myocardial infarction],
Q69714184,"Comparison of nifedipine, propranolol and isosorbide dinitrate on angiographic progression and regression of coronary arterial narrowings in angina pectoris",
Q54630389,Effect of isosorbide dinitrate on hemodynamics and respiration of patients with coronary artery disease and of patients with chronic cor pulmonale.,
Q34620916,"Haemodynamics and plasma concentrations following sublingual GTN and intravenous, or inhaled, isosorbide dinitrate",
Q72297716,"Comparison of efficacy of nisoldipine, metoprolol, and isosorbide dinitrate in patients with stable exertional angina: a randomized, cross-over, placebo-controlled study",
Q46172000,Randomized study to evaluate the relation between oral isosorbide dinitrate dosing interval and the development of early tolerance to its effect on left ventricular filling pressure in patients with chronic heart failure.,
Q45737220,New association of nicardipine and isosorbide dinitrate to treat internal mammary artery vasopasm in DIEP breast reconstruction.,
Q54623085,Hemodynamic and metabolic effects of isosorbide dinitrate in chronic congestive heart failure.,
Q36544071,"A review of isosorbide dinitrate and hydralazine in the management of heart failure in black patients, with a focus on a new fixed-dose combination.",
Q54306992,The immediate effects of isosorbide dinitrate on right ventricular function in patients with acute hypoxemic respiratory failure. A combined invasive and radionuclide study.,
Q44291386,"Lack of oxidative stress during sustained therapy with isosorbide dinitrate and pentaerythrityl tetranitrate in healthy humans: a randomized, double-blind crossover study.",
Q46512659,Isosorbide dinitrate for treatment of preterm labor.,
Q67021248,Plasma concentrations of isosorbide dinitrate after oral administration of a sustained-release formulation to human subjects,
Q72030126,Acute and subacute effects of nicorandil and isosorbide dinitrate on vessel wall properties of large arteries and hemodynamics in healthy volunteers,
Q69436413,[Determination of isosorbide dinitrate and its degradation products in pharmaceuticals by gradient RP-HPLC],
Q93821185,The effects of chewable isosorbide dinitrate in coronary insufficiency. A report on exercise electrocardiograms in 13 patients,
Q52877334,Changes in myocardial ischaemia during isosorbide dinitrate or indoramin therapy in patients with stable angina using relations between the ST segment and heart rate.,
Q54392033,"The effects of antianginal drugs on left ventricular function in patients with effort angina pectoris. Comparison among isosorbide dinitrate, nifedipine and propranolol by PANOVA.",
Q72811570,Prevention of cardiac hypertrophy by long-term treatment with isosorbide dinitrate and prazosin but not by minoxidil in spontaneously hypertensive rats,
Q39400271,Allergic reactions to glyceryl trinitrate and isosorbide dinitrate demonstrating cross-sensitivity.,
Q73491794,[Evaluation of antianginal efficacy of long-term therapy with low dose isosorbide dinitrate in patients with stable angina pectoris],
Q73512541,What intervals in oral therapy of isosorbide dinitrate in various doses are sufficient to prevent nitrate tolerance?,
Q71959428,Quantitative analysis of technetium 99m 2-methoxyisobutyl isonitrile single-photon emission computed tomography and isosorbide dinitrate infusion in assessment of myocardial viability before and after revascularization,
Q51101831,Preparation and control-release kinetics of isosorbide dinitrate microspheres.,
Q41628265,Serum concentrations of isosorbide dinitrate produced by a sustained-release capsule.,
Q44234369,Comparative hemodynamic effects of placebo and oral isosorbide dinitrate in patients with significant coronary artery disease.,
Q38258718,High dose oral isosorbide dinitrate and ischemic heart pain: a preliminary report.,
Q71833154,Metabolism of isosorbide dinitrate in the isolated perfused rabbit lung,
Q71819395,Plasma concentrations and urinary excretion of isosorbide dinitrate and its metabolites in the dog,
Q79125804,Isosorbide dinitrate in angina pectoris,
Q72555662,Absorption and excretion of isosorbide dinitrate and isosorbide-2-mononitrate in dogs,
Q50769735,The action of amyl nitrite and isosorbide dinitrate on the contractility of sphincter of Oddi of guinea-pigs.,
Q43242228,Recurrent catecholamine-induced coronary vasospam treated by intracoronary injection of isosorbide dinitrate in a patient with post-cardiac arrest syndrome.,
Q42248120,Effect of a combination of pindolol and isosorbide dinitrate on ischemic ST-segment depression and exercise ability in angina pectoris.,
Q54540354,Comparison of acute haemodynamic effects of nifedipine and isosorbide dinitrate in patients with heart failure following acute myocardial infarction.,
